product_id,name,n_obs,price_min,price_max,price_mean
a-la-mode-120-recipes-in-60-pairings-pies-tarts-cakes-crisps-and-more-topped-with-ice-cream-gelato-frozen-custard-and-more_611,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",2,38.77,38.77,38.77
a-light-in-the-attic_1000,A Light in the Attic,2,51.77,51.77,51.77
a-man-called-ove_653,A Man Called Ove,2,39.72,39.72,39.72
a-mothers-reckoning-living-in-the-aftermath-of-tragedy_585,A Mother's Reckoning: Living in the Aftermath of Tragedy,2,19.53,19.53,19.53
a-murder-in-time_877,A Murder in Time,2,16.64,16.64,16.64
a-murder-over-a-girl-justice-gender-junior-high_511,"A Murder Over a Girl: Justice, Gender, Junior High",2,13.2,13.2,13.2
a-new-earth-awakening-to-your-lifes-purpose_311,A New Earth: Awakening to Your Life's Purpose,2,55.65,55.65,55.65
a-paris-apartment_612,A Paris Apartment,2,39.01,39.01,39.01
a-peoples-history-of-the-united-states_654,A People's History of the United States,2,40.79,40.79,40.79
a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",2,56.76,56.76,56.76
a-series-of-catastrophes-and-miracles-a-true-story-of-love-science-and-cancer_655,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",2,56.48,56.48,56.48
a-shard-of-ice-the-black-symphony-saga-1_558,A Shard of Ice (The Black Symphony Saga #1),2,56.63,56.63,56.63
a-short-history-of-nearly-everything_457,A Short History of Nearly Everything,2,52.4,52.4,52.4
a-spys-devotion-the-regency-spies-of-london-1_3,A Spy's Devotion (The Regency Spies of London #1),2,16.97,16.97,16.97
a-storm-of-swords-a-song-of-ice-and-fire-3_116,A Storm of Swords (A Song of Ice and Fire #3),2,31.22,31.22,31.22
a-study-in-scarlet-sherlock-holmes-1_656,A Study in Scarlet (Sherlock Holmes #1),2,16.73,16.73,16.73
a-summer-in-europe_458,A Summer In Europe,2,44.34,44.34,44.34
a-time-of-torment-charlie-parker-14_657,A Time of Torment (Charlie Parker #14),2,48.35,48.35,48.35
a-visit-from-the-goon-squad_117,A Visit from the Goon Squad,2,14.08,14.08,14.08
a-walk-in-the-woods-rediscovering-america-on-the-appalachian-trail_118,A Walk in the Woods: Rediscovering America on the Appalachian Trail,2,30.48,30.48,30.48
a-walk-to-remember_312,A Walk to Remember,2,56.43,56.43,56.43
a-world-of-flavor-your-gluten-free-passport_879,A World of Flavor: Your Gluten Free Passport,2,42.95,42.95,42.95
a-year-in-provence-provence-1_421,A Year in Provence (Provence #1),2,56.88,56.88,56.88
abstract-city_658,Abstract City,2,56.37,56.37,56.37
adultery_586,Adultery,2,20.88,20.88,20.88
adulthood-is-a-myth-a-sarahs-scribbles-collection_659,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",2,10.9,10.9,10.9
agnostic-a-spirited-manifesto_786,Agnostic: A Spirited Manifesto,2,12.51,12.51,12.51
ajin-demi-human-volume-1-ajin-demi-human-1_4,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",2,57.06,57.06,57.06
aladdin-and-his-wonderful-lamp_973,Aladdin and His Wonderful Lamp,2,53.13,53.13,53.13
algorithms-to-live-by-the-computer-science-of-human-decisions_880,Algorithms to Live By: The Computer Science of Human Decisions,2,30.81,30.81,30.81
alice-in-wonderland-alices-adventures-in-wonderland-1_5,Alice in Wonderland (Alice's Adventures in Wonderland #1),2,55.53,55.53,55.53
alight-the-generations-trilogy-2_360,Alight (The Generations Trilogy #2),2,58.59,58.59,58.59
all-the-light-we-cannot-see_660,All the Light We Cannot See,2,29.87,29.87,29.87
amatus_787,Amatus,2,50.54,50.54,50.54
americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,2,22.5,22.5,22.5
americas-war-for-the-greater-middle-east-a-military-history_361,America's War for the Greater Middle East: A Military History,2,51.22,51.22,51.22
amid-the-chaos_788,Amid the Chaos,2,36.58,36.58,36.58
amy-meets-the-saints-and-sages_789,Amy Meets the Saints and Sages,2,18.46,18.46,18.46
an-abundance-of-katherines_362,An Abundance of Katherines,2,10.0,10.0,10.0
an-unquiet-mind-a-memoir-of-moods-and-madness_422,An Unquiet Mind: A Memoir of Moods and Madness,2,21.3,21.3,21.3
and-then-there-were-none_119,And Then There Were None,2,35.01,35.01,35.01
angels-demons-robert-langdon-1_661,Angels & Demons (Robert Langdon #1),2,51.48,51.48,51.48
angels-walking-angels-walking-1_662,Angels Walking (Angels Walking #1),2,34.2,34.2,34.2
animal-farm_313,Animal Farm,2,57.22,57.22,57.22
annie-on-my-mind_120,Annie on My Mind,2,36.83,36.83,36.83
anonymous_790,Anonymous,2,46.82,46.82,46.82
approval-junkie-adventures-in-caring-too-much_363,Approval Junkie: Adventures in Caring Too Much,2,58.81,58.81,58.81
are-we-smart-enough-to-know-how-smart-animals-are_121,Are We Smart Enough to Know How Smart Animals Are?,2,56.58,56.58,56.58
are-we-there-yet_122,Are We There Yet?,2,10.66,10.66,10.66
arena_587,Arena,2,21.36,21.36,21.36
aristotle-and-dante-discover-the-secrets-of-the-universe-aristotle-and-dante-discover-the-secrets-of-the-universe-1_663,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),2,58.14,58.14,58.14
art-and-fear-observations-on-the-perils-and-rewards-of-artmaking_559,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,2,48.63,48.63,48.63
art-ops-vol-1_664,Art Ops Vol. 1,2,48.8,48.8,48.8
ash_123,Ash,2,22.06,22.06,22.06
at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459,"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",2,29.93,29.93,29.93
atlas-shrugged_314,Atlas Shrugged,2,26.58,26.58,26.58
avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",2,28.09,28.09,28.09
awkward_124,Awkward,2,38.02,38.02,38.02
ayumis-violin_791,Ayumi's Violin,2,15.48,15.48,15.48
balloon-animals_665,Balloon Animals,2,17.03,17.03,17.03
barefoot-contessa-at-home-everyday-recipes-youll-make-over-and-over-again_666,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,2,50.62,50.62,50.62
barefoot-contessa-back-to-basics_667,Barefoot Contessa Back to Basics,2,28.01,28.01,28.01
batman-europa_668,Batman: Europa,2,32.01,32.01,32.01
batman-the-dark-knight-returns-batman_792,Batman: The Dark Knight Returns (Batman),2,15.38,15.38,15.38
batman-the-long-halloween-batman_793,Batman: The Long Halloween (Batman),2,36.5,36.5,36.5
beautiful-creatures-caster-chronicles-1_125,Beautiful Creatures (Caster Chronicles #1),2,21.55,21.55,21.55
beauty-restored-riley-family-legacy-novellas-3_794,Beauty Restored (Riley Family Legacy Novellas #3),2,11.11,11.11,11.11
becoming-wise-an-inquiry-into-the-mystery-and-art-of-living_795,Becoming Wise: An Inquiry into the Mystery and Art of Living,2,27.43,27.43,27.43
behind-closed-doors_962,Behind Closed Doors,2,52.22,52.22,52.22
being-mortal-medicine-and-what-matters-in-the-end_512,Being Mortal: Medicine and What Matters in the End,2,55.06,55.06,55.06
benjamin-franklin-an-american-life_460,Benjamin Franklin: An American Life,2,48.19,48.19,48.19
beowulf_126,Beowulf,2,38.35,38.35,38.35
best-of-my-love-fools-gold-20_127,Best of My Love (Fool's Gold #20),2,27.41,27.41,27.41
better-homes-and-gardens-new-cook-book_423,Better Homes and Gardens New Cook Book,2,39.61,39.61,39.61
between-shades-of-gray_128,Between Shades of Gray,2,20.79,20.79,20.79
between-the-world-and-me_513,Between the World and Me,2,56.91,56.91,56.91
beyond-good-and-evil_6,Beyond Good and Evil,2,43.38,43.38,43.38
big-little-lies_129,Big Little Lies,2,22.11,22.11,22.11
big-magic-creative-living-beyond-fear_796,Big Magic: Creative Living Beyond Fear,2,30.8,30.8,30.8
birdsong-a-story-in-pictures_975,Birdsong: A Story in Pictures,2,54.64,54.64,54.64
bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",2,37.92,37.92,37.92
black-butler-vol-1-black-butler-1_130,"Black Butler, Vol. 1 (Black Butler #1)",2,49.31,49.31,49.31
black-dust_976,Black Dust,2,34.53,34.53,34.53
black-flags-the-rise-of-isis_131,Black Flags: The Rise of ISIS,2,40.87,40.87,40.87
bleach-vol-1-strawberry-and-the-soul-reapers-bleach-1_7,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",2,34.65,34.65,34.65
blink-the-power-of-thinking-without-thinking_132,Blink: The Power of Thinking Without Thinking,2,21.74,21.74,21.74
blood-defense-samantha-brinkman-1_8,Blood Defense (Samantha Brinkman #1),2,20.3,20.3,20.3
blue-like-jazz-nonreligious-thoughts-on-christian-spirituality_461,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,2,25.77,25.77,25.77
blue-lily-lily-blue-the-raven-cycle-3_364,"Blue Lily, Lily Blue (The Raven Cycle #3)",2,34.13,34.13,34.13
boar-island-anna-pigeon-19_613,Boar Island (Anna Pigeon #19),2,59.48,59.48,59.48
booked_365,Booked,2,17.49,17.49,17.49
born-for-this-how-to-find-the-work-you-were-meant-to-do_588,Born for This: How to Find the Work You Were Meant to Do,2,21.59,21.59,21.59
born-to-run-a-hidden-tribe-superathletes-and-the-greatest-race-the-world-has-never-seen_133,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",2,27.35,27.35,27.35
bossypants_883,Bossypants,2,49.46,49.46,49.46
bounty-colorado-mountain-7_9,Bounty (Colorado Mountain #7),2,37.26,37.26,37.26
boy-meets-boy_134,Boy Meets Boy,2,21.12,21.12,21.12
brain-on-fire-my-month-of-madness_669,Brain on Fire: My Month of Madness,2,49.32,49.32,49.32
brave-enough_135,Brave Enough,2,51.32,51.32,51.32
brazen-the-courage-to-find-the-you-thats-been-hiding_514,Brazen: The Courage to Find the You That's Been Hiding,2,19.22,19.22,19.22
breaking-dawn-twilight-4_136,Breaking Dawn (Twilight #4),2,35.28,35.28,35.28
bridget-joness-diary-bridget-jones-1_10,Bridget Jones's Diary (Bridget Jones #1),2,29.82,29.82,29.82
bright-lines_11,Bright Lines,2,39.07,39.07,39.07
brilliant-beacons-a-history-of-the-american-lighthouse_515,Brilliant Beacons: A History of the American Lighthouse,2,11.45,11.45,11.45
burning_884,Burning,2,28.81,28.81,28.81
buying-in-the-secret-dialogue-between-what-we-buy-and-who-we-are_670,Buying In: The Secret Dialogue Between What We Buy and Who We Are,2,37.8,37.8,37.8
call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,2,29.14,29.14,29.14
camp-midnight_886,Camp Midnight,2,17.08,17.08,17.08
can-you-keep-a-secret-fear-street-relaunch-4_614,Can You Keep a Secret? (Fear Street Relaunch #4),2,48.64,48.64,48.64
can-you-keep-a-secret_315,Can You Keep a Secret?,2,21.94,21.94,21.94
candide_316,Candide,2,58.63,58.63,58.63
career-of-evil-cormoran-strike-3_137,Career of Evil (Cormoran Strike #3),2,24.72,24.72,24.72
carrie_671,Carrie,2,46.23,46.23,46.23
carry-on-warrior-thoughts-on-life-unarmed_672,"Carry On, Warrior: Thoughts on Life Unarmed",2,31.85,31.85,31.85
catastrophic-happiness-finding-joy-in-childhoods-messy-years_138,Catastrophic Happiness: Finding Joy in Childhood's Messy Years,2,37.35,37.35,37.35
catching-jordan-hundred-oaks_673,Catching Jordan (Hundred Oaks),2,50.83,50.83,50.83
catherine-the-great-portrait-of-a-woman_424,Catherine the Great: Portrait of a Woman,2,58.55,58.55,58.55
cell_674,Cell,2,20.29,20.29,20.29
changing-the-game-play-by-play-2_317,Changing the Game (Play by Play #2),2,13.38,13.38,13.38
charitys-cross-charles-towne-belles-4_12,Charity's Cross (Charles Towne Belles #4),2,41.24,41.24,41.24
charlie-and-the-chocolate-factory-charlie-bucket-1_13,Charlie and the Chocolate Factory (Charlie Bucket #1),2,22.85,22.85,22.85
chase-me-paris-nights-2_977,Chase Me (Paris Nights #2),2,25.27,25.27,25.27
chasing-heaven-what-dying-taught-me-about-living_797,Chasing Heaven: What Dying Taught Me About Living,2,37.8,37.8,37.8
chernobyl-012340-the-incredible-true-story-of-the-worlds-worst-nuclear-disaster_560,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,2,35.92,35.92,35.92
choosing-our-religion-the-spiritual-lives-of-americas-nones_14,Choosing Our Religion: The Spiritual Lives of America's Nones,2,28.42,28.42,28.42
chronicles-vol-1_462,"Chronicles, Vol. 1",2,52.6,52.6,52.6
cinder-the-lunar-chronicles-1_139,Cinder (The Lunar Chronicles #1),2,26.09,26.09,26.09
city-of-ashes-the-mortal-instruments-2_675,City of Ashes (The Mortal Instruments #2),2,47.27,47.27,47.27
city-of-bones-the-mortal-instruments-1_676,City of Bones (The Mortal Instruments #1),2,43.28,43.28,43.28
city-of-fallen-angels-the-mortal-instruments-4_677,City of Fallen Angels (The Mortal Instruments #4),2,11.23,11.23,11.23
city-of-glass-the-mortal-instruments-3_678,City of Glass (The Mortal Instruments #3),2,56.02,56.02,56.02
civilization-and-its-discontents_140,Civilization and Its Discontents,2,59.95,59.95,59.95
clockwork-angel-the-infernal-devices-1_679,Clockwork Angel (The Infernal Devices #1),2,44.14,44.14,44.14
close-to-you_798,Close to You,2,49.46,49.46,49.46
code-name-verity-code-name-verity-1_680,Code Name Verity (Code Name Verity #1),2,22.13,22.13,22.13
codename-baboushka-volume-1-the-conclave-of-death_887,"Codename Baboushka, Volume 1: The Conclave of Death",2,36.72,36.72,36.72
cometh-the-hour-the-clifton-chronicles-6_681,Cometh the Hour (The Clifton Chronicles #6),2,25.01,25.01,25.01
confessions-of-a-shopaholic-shopaholic-1_318,Confessions of a Shopaholic (Shopaholic #1),2,48.94,48.94,48.94
cosmos_141,Cosmos,2,36.17,36.17,36.17
counted-with-the-stars-out-from-egypt-1_463,Counted With the Stars (Out from Egypt #1),2,17.97,17.97,17.97
counting-thyme_142,Counting Thyme,2,10.62,10.62,10.62
cravings-recipes-for-what-you-want-to-eat_589,Cravings: Recipes for What You Want to Eat,2,20.5,20.5,20.5
crazy-love-overwhelmed-by-a-relentless-god_682,Crazy Love: Overwhelmed by a Relentless God,2,47.72,47.72,47.72
crazy-rich-asians-crazy-rich-asians-1_143,Crazy Rich Asians (Crazy Rich Asians #1),2,49.13,49.13,49.13
critique-of-pure-reason_366,Critique of Pure Reason,2,20.75,20.75,20.75
crown-of-midnight-throne-of-glass-2_888,Crown of Midnight (Throne of Glass #2),2,43.29,43.29,43.29
daily-fantasy-sports_683,Daily Fantasy Sports,2,36.58,36.58,36.58
danganronpa-volume-1_889,Danganronpa Volume 1,2,51.99,51.99,51.99
daredevils_590,Daredevils,2,16.34,16.34,16.34
daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead_799,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",2,19.43,19.43,19.43
dark-lover-black-dagger-brotherhood-1_319,Dark Lover (Black Dagger Brotherhood #1),2,12.87,12.87,12.87
dark-notes_800,Dark Notes,2,19.19,19.19,19.19
dark-places_144,Dark Places,2,23.9,23.9,23.9
darkfever-fever-1_145,Darkfever (Fever #1),2,56.02,56.02,56.02
data-a-love-story-how-i-gamed-online-dating-to-meet-my-match_367,"Data, A Love Story: How I Gamed Online Dating to Meet My Match",2,32.35,32.35,32.35
david-and-goliath-underdogs-misfits-and-the-art-of-battling-giants_146,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",2,17.81,17.81,17.81
dead-wake-the-last-crossing-of-the-lusitania_147,Dead Wake: The Last Crossing of the Lusitania,2,39.24,39.24,39.24
dear-mr-knightley_684,Dear Mr. Knightley,2,11.21,11.21,11.21
death-by-leisure-a-cautionary-tale_516,Death by Leisure: A Cautionary Tale,2,37.51,37.51,37.51
death-note-vol-5-whiteout-death-note-5_368,"Death Note, Vol. 5: Whiteout (Death Note #5)",2,52.41,52.41,52.41
death-note-vol-6-give-and-take-death-note-6_425,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",2,36.39,36.39,36.39
deception-point_426,Deception Point,2,40.32,40.32,40.32
deep-under-walker-security-1_15,Deep Under (Walker Security #1),2,47.09,47.09,47.09
deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",2,42.16,42.16,42.16
delivering-the-truth-quaker-midwife-mystery-1_464,Delivering the Truth (Quaker Midwife Mystery #1),2,20.89,20.89,20.89
demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),2,37.51,37.51,37.51
diary-of-a-citizen-scientist-chasing-tiger-beetles-and-other-new-ways-of-engaging-the-world_517,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,2,28.41,28.41,28.41
diary-of-a-minecraft-zombie-book-1-a-scare-of-a-dare-an-unofficial-minecraft-book_99,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),2,52.88,52.88,52.88
digital-fortress_369,Digital Fortress,2,58.0,58.0,58.0
dirty-dive-bar-1_615,Dirty (Dive Bar #1),2,40.83,40.83,40.83
disrupted-my-misadventure-in-the-start-up-bubble_148,Disrupted: My Misadventure in the Start-Up Bubble,2,15.28,15.28,15.28
do-androids-dream-of-electric-sheep-blade-runner-1_149,Do Androids Dream of Electric Sheep? (Blade Runner #1),2,51.48,51.48,51.48
doctor-sleep-the-shining-2_686,Doctor Sleep (The Shining #2),2,40.12,40.12,40.12
doing-it-over-most-likely-to-1_802,Doing It Over (Most Likely To #1),2,35.61,35.61,35.61
done-rubbed-out-reightman-bailey-1_803,Done Rubbed Out (Reightman & Bailey #1),2,37.72,37.72,37.72
dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",2,37.97,37.97,37.97
dont-forget-steven_561,Don't Forget Steven,2,33.23,33.23,33.23
dont-get-caught_687,Don't Get Caught,2,55.35,55.35,55.35
dracula-the-un-dead_370,Dracula the Un-Dead,2,35.63,35.63,35.63
dracula_150,Dracula,2,52.62,52.62,52.62
drama_371,Drama,2,38.7,38.7,38.7
dress-your-family-in-corduroy-and-denim_562,Dress Your Family in Corduroy and Denim,2,43.68,43.68,43.68
drive-the-surprising-truth-about-what-motivates-us_804,Drive: The Surprising Truth About What Motivates Us,2,34.95,34.95,34.95
dune-dune-1_151,Dune (Dune #1),2,54.86,54.86,54.86
eat-fat-get-thin_688,"Eat Fat, Get Thin",2,54.07,54.07,54.07
eat-pray-love_16,"Eat, Pray, Love",2,51.32,51.32,51.32
eaternity-more-than-150-deliciously-easy-vegan-recipes-for-a-long-healthy-satisfied-joyful-life_689,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",2,51.75,51.75,51.75
eclipse-twilight-3_152,Eclipse (Twilight #3),2,18.74,18.74,18.74
eight-hundred-grapes_690,Eight Hundred Grapes,2,14.39,14.39,14.39
el-deafo_691,El Deafo,2,57.62,57.62,57.62
eleanor-park_616,Eleanor & Park,2,56.51,56.51,56.51
eligible-the-austen-project-4_692,Eligible (The Austen Project #4),2,27.09,27.09,27.09
emma_17,Emma,2,32.93,32.93,32.93
enders-game-the-ender-quintet-1_518,Ender's Game (The Ender Quintet #1),2,43.64,43.64,43.64
equal-is-unfair-americas-misguided-fight-against-income-inequality_617,Equal Is Unfair: America's Misguided Fight Against Income Inequality,2,56.86,56.86,56.86
eragon-the-inheritance-cycle-1_153,Eragon (The Inheritance Cycle #1),2,43.87,43.87,43.87
eureka-trivia-60_805,Eureka Trivia 6.0,2,54.59,54.59,54.59
every-heart-a-doorway-every-heart-a-doorway-1_465,Every Heart a Doorway (Every Heart A Doorway #1),2,12.16,12.16,12.16
every-last-word_693,Every Last Word,2,46.47,46.47,46.47
everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,2,54.35,54.35,54.35
everyday-italian-125-simple-and-delicious-recipes_618,Everyday Italian: 125 Simple and Delicious Recipes,2,20.1,20.1,20.1
evicted-poverty-and-profit-in-the-american-city_372,Evicted: Poverty and Profit in the American City,2,42.27,42.27,42.27
exit-pursued-by-a-bear_591,"Exit, Pursued by a Bear",2,51.34,51.34,51.34
extreme-prey-lucas-davenport-26_154,Extreme Prey (Lucas Davenport #26),2,25.4,25.4,25.4
fables-vol-1-legends-in-exile-fables-1_806,"Fables, Vol. 1: Legends in Exile (Fables #1)",2,41.62,41.62,41.62
far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",2,15.06,15.06,15.06
far-from-true-promise-falls-trilogy-2_320,Far From True (Promise Falls Trilogy #2),2,34.93,34.93,34.93
feathers-displays-of-brilliant-plumage_695,Feathers: Displays of Brilliant Plumage,2,49.05,49.05,49.05
fellside_155,Fellside,2,38.62,38.62,38.62
fifty-shades-darker-fifty-shades-2_892,Fifty Shades Darker (Fifty Shades #2),2,21.96,21.96,21.96
fifty-shades-freed-fifty-shades-3_156,Fifty Shades Freed (Fifty Shades #3),2,15.36,15.36,15.36
fighting-fate-fighting-6_18,Fighting Fate (Fighting #6),2,39.24,39.24,39.24
find-her-detective-dd-warren-8_373,Find Her (Detective D.D. Warren #8),2,22.37,22.37,22.37
finders-keepers-bill-hodges-trilogy-2_807,Finders Keepers (Bill Hodges Trilogy #2),2,53.53,53.53,53.53
finding-god-in-the-ruins-how-god-redeems-pain_466,Finding God in the Ruins: How God Redeems Pain,2,46.64,46.64,46.64
fire-bound-sea-havensisters-of-the-heart-5_157,Fire Bound (Sea Haven/Sisters of the Heart #5),2,21.28,21.28,21.28
first-and-first-five-boroughs-3_893,First and First (Five Boroughs #3),2,15.97,15.97,15.97
first-steps-for-new-christians-print-edition_808,First Steps for New Christians (Print Edition),2,29.0,29.0,29.0
follow-you-home_809,Follow You Home,2,21.36,21.36,21.36
fool-me-once_374,Fool Me Once,2,16.96,16.96,16.96
foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",2,30.52,30.52,30.52
for-the-love-fighting-for-grace-in-a-world-of-impossible-standards_467,For the Love: Fighting for Grace in a World of Impossible Standards,2,45.13,45.13,45.13
forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,2,29.69,29.69,29.69
forever-rockers-the-rocker-12_19,Forever Rockers (The Rocker #12),2,28.8,28.8,28.8
foundation-foundation-publication-order-1_375,Foundation (Foundation (Publication Order) #1),2,32.42,32.42,32.42
frankenstein_20,Frankenstein,2,38.0,38.0,38.0
friday-night-lights-a-town-a-team-and-a-dream_158,"Friday Night Lights: A Town, a Team, and a Dream",2,51.22,51.22,51.22
frostbite-vampire-academy-2_810,Frostbite (Vampire Academy #2),2,29.99,29.99,29.99
fruits-basket-vol-1-fruits-basket-1_21,"Fruits Basket, Vol. 1 (Fruits Basket #1)",2,40.28,40.28,40.28
fruits-basket-vol-2-fruits-basket-2_100,"Fruits Basket, Vol. 2 (Fruits Basket #2)",2,11.64,11.64,11.64
fruits-basket-vol-3-fruits-basket-3_159,"Fruits Basket, Vol. 3 (Fruits Basket #3)",2,45.17,45.17,45.17
fruits-basket-vol-4-fruits-basket-4_321,"Fruits Basket, Vol. 4 (Fruits Basket #4)",2,50.44,50.44,50.44
